item_id,date,steps
p02,2019-12-05,19220.0
p02,2019-12-06,16187.0
p02,2019-12-07,21078.0
p02,2019-12-08,21623.0
p02,2019-12-09,17015.0
p02,2019-12-10,9379.0
p02,2019-12-11,14888.0
p02,2019-12-12,19928.0
p02,2019-12-13,18049.0
p02,2019-12-14,11890.0
p02,2019-12-15,19888.0
p02,2019-12-16,17538.0
p02,2019-12-17,14124.0
p02,2019-12-18,23793.0
p02,2019-12-19,13145.0
p02,2019-12-20,22707.0
p02,2019-12-21,10055.0
p02,2019-12-22,9569.0
p02,2019-12-23,9261.0
p02,2019-12-24,15626.0
p02,2019-12-25,14476.0
p02,2019-12-26,18867.0
p02,2019-12-27,9417.0
p02,2019-12-28,16565.0
p02,2019-12-29,8065.0
p02,2019-12-30,15828.0
p02,2019-12-31,1058.0
p02,2020-01-01,239.0
p02,2020-01-02,8414.0
p02,2020-01-03,15541.0
p02,2020-01-04,16953.0
p02,2020-01-05,13684.0
p02,2020-01-06,21047.0
p02,2020-01-07,21214.0
p02,2020-01-08,22660.0
p02,2020-01-09,12857.0
p02,2020-01-10,20111.0
p02,2020-01-11,5824.0
p02,2020-01-12,13801.0
p02,2020-01-13,15668.0
p02,2020-01-14,21089.0
p02,2020-01-15,24040.0
p02,2020-01-16,15446.0
p02,2020-01-17,23550.0
p02,2020-01-18,15735.0
p02,2020-01-19,10183.0
p02,2020-01-20,15403.0
p02,2020-01-21,24495.0
p02,2020-01-22,20276.0
p02,2020-01-23,16213.0
p02,2020-01-24,21309.0
p02,2020-01-25,7550.0
p02,2020-01-26,4766.0
p02,2020-01-27,27156.0
p02,2020-01-28,14874.0
p02,2020-01-29,20667.0
p02,2020-01-30,12191.0
p02,2020-01-31,14950.0
p02,2020-02-01,11957.0
p02,2020-02-02,17758.0
p02,2020-02-03,16166.0
p02,2020-02-04,15195.0
p02,2020-02-05,17319.0
p02,2020-02-06,14191.0
p02,2020-02-07,16075.0
p02,2020-02-08,19941.0
p02,2020-02-09,10319.0
p02,2020-02-10,9845.0
p02,2020-02-11,19587.0
p02,2020-02-12,26750.0
p02,2020-02-13,19540.0
p02,2020-02-14,13895.0
p02,2020-02-15,17449.0
p02,2020-02-16,23982.0
p02,2020-02-17,12872.0
p02,2020-02-18,14934.0
p02,2020-02-19,25436.0
p02,2020-02-20,28029.0
p02,2020-02-21,17634.0
p02,2020-02-22,13643.0
p02,2020-02-23,17558.0
p02,2020-02-24,14370.0
p02,2020-02-25,6731.0
p02,2020-02-26,21897.0
p02,2020-02-27,31147.0
p02,2020-02-28,6665.0
p02,2020-02-29,27295.0
p02,2020-03-01,12031.0
p02,2020-03-02,23021.0
p02,2020-03-03,23647.0
p02,2020-03-04,17096.0
p02,2020-03-05,15797.0
p02,2020-03-06,19857.0
p02,2020-03-07,16197.0
p02,2020-03-08,10894.0
p02,2020-03-09,24870.0
p02,2020-03-10,12198.0
p02,2020-03-11,18491.0
p02,2020-03-12,10341.0
p02,2020-03-13,16566.0
p02,2020-03-14,20861.0
p02,2020-03-15,17450.0
p02,2020-03-16,10922.0
p02,2020-03-17,15858.0
p02,2020-03-18,12603.0
p02,2020-03-19,19589.0
p02,2020-03-20,16234.0
p02,2020-03-21,13056.0
p02,2020-03-22,12485.0
p02,2020-03-23,17238.0
p02,2020-03-24,10874.0
p02,2020-03-25,9817.0
p02,2020-03-26,5102.0
p02,2020-03-27,15078.0
p02,2020-03-28,17133.0
p02,2020-03-29,13039.0
p02,2020-03-30,18485.0
p02,2020-03-31,15137.0
p03,2019-11-01,11204.0
p03,2019-11-02,4435.0
p03,2019-11-03,0.0
p03,2019-11-04,0.0
p03,2019-11-05,6710.0
p03,2019-11-06,9079.0
p03,2019-11-07,4313.0
p03,2019-11-08,7825.0
p03,2019-11-09,3338.0
p03,2019-11-10,3338.0
p03,2019-11-11,7356.0
p03,2019-11-12,7498.0
p03,2019-11-13,13.0
p03,2019-11-14,7284.0
p03,2019-11-15,4345.0
p03,2019-11-16,394.0
p03,2019-11-17,394.0
p03,2019-11-18,394.0
p03,2019-11-19,394.0
p03,2019-11-20,394.0
p03,2019-11-21,394.0
p03,2019-11-22,394.0
p03,2019-11-23,394.0
p03,2019-11-24,394.0
p03,2019-11-25,394.0
p03,2019-11-26,394.0
p03,2019-11-27,394.0
p03,2019-11-28,394.0
p03,2019-11-29,394.0
p03,2019-11-30,394.0
p03,2019-12-01,394.0
p03,2019-12-02,394.0
p03,2019-12-03,394.0
p03,2019-12-04,394.0
p03,2019-12-05,394.0
p03,2019-12-06,394.0
p03,2019-12-07,394.0
p03,2019-12-08,394.0
p03,2019-12-09,394.0
p03,2019-12-10,195.0
p03,2019-12-11,9113.0
p03,2019-12-12,10866.0
p03,2019-12-13,6389.0
p03,2019-12-14,6241.0
p03,2019-12-15,31.0
p03,2019-12-16,6116.0
p03,2019-12-17,9876.0
p03,2019-12-18,633.0
p03,2019-12-19,6.0
p03,2019-12-20,4872.0
p03,2019-12-21,8113.0
p03,2019-12-21,8113.0
p03,2019-12-22,7278.0
p03,2019-12-23,9649.0
p03,2019-12-24,10406.0
p03,2019-12-25,4936.0
p03,2019-12-26,3867.0
p03,2019-12-27,33.0
p03,2019-12-28,5785.0
p03,2019-12-29,2207.0
p03,2019-12-30,9643.0
p03,2019-12-31,3946.0
p03,2020-01-01,904.0
p03,2020-01-02,2180.0
p03,2020-01-03,2877.0
p03,2020-01-04,11212.0
p03,2020-01-05,2918.0
p03,2020-01-06,9233.0
p03,2020-01-07,8382.0
p03,2020-01-08,7930.0
p03,2020-01-09,11060.0
p03,2020-01-10,7018.0
p03,2020-01-11,7.0
p03,2020-01-12,7019.0
p03,2020-01-13,9216.0
p03,2020-01-14,6320.0
p03,2020-01-15,9626.0
p03,2020-01-16,10940.0
p03,2020-01-17,6496.0
p03,2020-01-18,770.0
p03,2020-01-19,63.0
p03,2020-01-20,13172.0
p03,2020-01-21,0.0
p03,2020-01-22,8798.0
p03,2020-01-23,5879.0
p03,2020-01-24,7511.0
p03,2020-01-25,2093.0
p03,2020-01-26,858.0
p03,2020-01-27,9785.0
p03,2020-01-28,6588.0
p03,2020-01-29,9445.0
p03,2020-01-30,13800.0
p03,2020-01-31,10627.0
p03,2020-02-01,723.0
p03,2020-02-02,1365.0
p03,2020-02-03,9441.0
p03,2020-02-04,8628.0
p03,2020-02-05,11776.0
p03,2020-02-06,16964.0
p03,2020-02-07,11950.0
p03,2020-02-08,7.0
p03,2020-02-09,369.0
p03,2020-02-10,8216.0
p03,2020-02-11,8784.0
p03,2020-02-12,10918.0
p03,2020-02-13,7663.0
p03,2020-02-14,3971.0
p03,2020-02-15,4804.0
p03,2020-02-16,4866.0
p03,2020-02-17,7286.0
p03,2020-02-18,7337.0
p03,2020-02-19,6524.0
p03,2020-02-20,6825.0
p03,2020-02-21,7753.0
p03,2020-02-22,5051.0
p03,2020-02-23,450.0
p03,2020-02-24,10469.0
p03,2020-02-25,7822.0
p03,2020-02-26,6692.0
p03,2020-02-27,9114.0
p03,2020-02-28,1484.0
p03,2020-02-29,1484.0
p03,2020-03-01,1484.0
p03,2020-03-02,1484.0
p03,2020-03-03,1484.0
p03,2020-03-04,6135.0
p03,2020-03-05,9496.0
p03,2020-03-06,6780.0
p03,2020-03-07,3297.0
p03,2020-03-08,193.0
p03,2020-03-09,5448.0
p03,2020-03-10,4986.0
p03,2020-03-11,646.0
p03,2020-03-12,266.0
p03,2020-03-13,5577.0
p03,2020-03-14,2239.0
p03,2020-03-15,293.0
p03,2020-03-16,169.0
p03,2020-03-17,212.0
p03,2020-03-18,42.0
