Date,IMA,WeightBearing,Sedentary,Standing,LPA,MPA,VPA,Steps
22/08/2021,100605,1140,27110,1006,7182,1186,402,9334
23/08/2021,79182,1760,15652,1000,5492,2766,0,9496
24/08/2021,82153,748,18650,554,4282,858,592,6570
25/08/2021,100456,878,24864,866,4332,3220,760,12279
26/08/2021,116348,3890,16302,2220,9756,2958,1528,15766
27/08/2021,57584,1236,20518,1248,6028,394,96,4826
28/08/2021,67737,718,24842,670,5998,354,0,6943
29/08/2021,152250,430,33498,340,8294,2338,718,16359
30/08/2021,60925,264,18428,188,3142,1290,0,5977
31/08/2021,89197,0,19420,0,3346,2612,780,11671
