sedentary,LPA,MPA,VPA,steps,active
77992,2974,2150,802,9652,2
42962,296,690,60,1499,0
42962,296,690,60,1500,0
77992,2974,2150,802,9652,2
83832,4262,966,86,8581,2
99204,5228,3416,1760,19628,4
99204,5228,3416,1760,19629,4
110318,1006,3076,3032,9883,2
110318,1006,3076,3032,9883,2
60160,3536,2912,2172,13667,4
60160,3536,2912,2172,13668,4
60144,3539,2941,2190,13720,4
72112,6374,880,572,9500,2
72112,6374,880,572,9501,2
71718,5510,562,922,8199,2
72112,6374,880,572,9500,2
72112,6374,880,572,9502,2
117732,8900,4030,230,16623,4
147538,10824,1634,3242,16491,4
117294,7242,722,0,11315,3
92268,3000,444,62,5395,1
79372,6034,1634,2140,8681,2
79716,4714,1084,2026,7226,1
125764,10608,1784,4554,17386,4
155288,16128,2820,7330,28933,4
149956,14190,2062,7880,21517,4
149956,14190,2062,7880,21518,4
149956,14190,2062,7880,21520,4
152286,13056,1818,6444,19470,4
138414,15672,3048,5766,25520,4
110900,14348,3284,6548,23900,4
118252,9284,3132,3776,16152,4
81936,5946,2242,1460,10361,3
81936,5946,2242,1460,10362,3
81936,5946,2242,1460,10361,3
54706,2734,0,0,3944,0
84676,682,234,0,1164,0
84676,682,234,0,1165,0
84676,682,234,0,1164,0
85384,2562,1304,240,4266,0
85384,2562,1304,240,4268,0
82126,4178,1746,1454,6366,1
84968,1346,212,486,2926,0
84968,1346,212,486,2927,0
84968,1346,212,486,2929,0
84968,1346,212,486,2926,0
83584,2710,810,450,5168,1
62686,2488,744,118,4780,0
81404,2572,630,366,4003,0
82250,3350,1680,374,5678,1
82250,3350,1680,374,5689,1
89412,4806,1926,0,11450,3
89412,4806,1926,0,11452,3
89412,4806,1926,0,11451,3
89412,4806,1926,0,11450,3
89412,4806,1926,0,11453,3
89412,4806,1926,0,11450,3
89412,4806,1926,0,11451,3
89412,4806,1926,0,11450,3
89412,4806,1926,0,11452,3
89412,4806,1926,0,11450,3
82692,2880,740,0,6162,1
93464,1674,1106,0,4763,0
81858,2420,1058,44,6440,1
86502,2050,1002,0,5356,1
81186,1758,1286,0,5407,1
